Order_ID,Order_Date,Customer_Name,Gender,Age,City,State,Category,Product,Quantity,Price,Discount,Sales,Profit,Payment_Mode,Region
100001,2025-07-14,Rohit,Female,39,Patna,Bihar,Electronics,Headphones,1,2500,15,2125.0,266.29,UPI,East
100002,2025-03-25,Aman,Female,23,Ranchi,Jharkhand,Furniture,Table,3,6500,20,15600.0,2133.23,NetBanking,East
100003,2025-02-17,Ankit,Male,26,Patna,Bihar,Electronics,Laptop,3,55000,25,123750.0,19331.57,UPI,East
100004,2025-06-06,Pooja,Female,31,Patna,Bihar,Clothing,Shoes,5,2800,15,11900.0,1488.75,Cash,East
100005,2025-09-06,Rohit,Female,41,Jaipur,Rajasthan,Electronics,Smartwatch,5,5000,15,21250.0,4173.97,UPI,North
100006,2025-06-22,Rohit,Female,22,Kolkata,West Bengal,Furniture,Chair,4,3500,25,10500.0,1307.47,NetBanking,East
100007,2025-01-07,Pooja,Male,43,Kolkata,West Bengal,Grocery,Sugar,1,600,5,570.0,102.4,UPI,East
100008,2025-03-20,Rohit,Female,42,Mumbai,Maharashtra,Clothing,Shoes,2,2800,20,4480.0,726.87,NetBanking,West
100009,2025-06-30,Ankit,Female,45,Bengaluru,Karnataka,Electronics,Laptop,2,55000,15,93500.0,10550.55,NetBanking,South
100010,2025-02-12,Ayush,Male,52,Delhi,Delhi,Electronics,Laptop,5,55000,0,275000.0,45857.47,NetBanking,North
100011,2025-01-17,Rohit,Female,44,Hyderabad,Telangana,Electronics,Smartwatch,1,5000,10,4500.0,560.84,Cash,South
100012,2025-07-10,Ankit,Male,23,Mumbai,Maharashtra,Electronics,Mobile,4,18000,0,72000.0,14544.87,UPI,West
100013,2025-07-19,Pooja,Male,52,Bengaluru,Karnataka,Grocery,Sugar,2,600,25,900.0,190.19,Cash,South
100014,2025-08-21,Ankit,Male,40,Mumbai,Maharashtra,Electronics,Mobile,5,18000,15,76500.0,11740.53,NetBanking,West
100015,2025-09-22,Rohit,Male,39,Kolkata,West Bengal,Grocery,Sugar,4,600,0,2400.0,256.7,UPI,East
100016,2025-05-05,Neha,Female,34,Pune,Maharashtra,Clothing,Jeans,5,2200,10,9900.0,948.28,NetBanking,West
100017,2025-04-10,Karan,Male,23,Patna,Bihar,Electronics,Laptop,2,55000,20,88000.0,10024.51,Cash,East
100018,2025-03-11,Sneha,Female,43,Pune,Maharashtra,Electronics,Headphones,5,2500,20,10000.0,1026.89,UPI,West
100019,2025-03-06,Priya,Male,56,Pune,Maharashtra,Clothing,Shoes,3,2800,15,7140.0,1681.22,NetBanking,West
100020,2025-12-09,Ayush,Female,40,Kolkata,West Bengal,Clothing,Shirt,1,1200,10,1080.0,244.6,Card,East
100021,2025-08-01,Ayush,Female,29,Patna,Bihar,Grocery,Sugar,2,600,5,1140.0,165.3,NetBanking,East
100022,2025-11-06,Pooja,Male,42,Pune,Maharashtra,Clothing,Shirt,3,1200,0,3600.0,843.83,UPI,West
100023,2025-05-05,Ankit,Female,35,Kolkata,West Bengal,Grocery,Sugar,1,600,15,510.0,90.53,NetBanking,East
100024,2025-06-22,Aman,Male,25,Bengaluru,Karnataka,Clothing,Jeans,4,2200,20,7040.0,1251.31,UPI,South
100025,2025-10-05,Rahul,Female,41,Hyderabad,Telangana,Grocery,Tea,2,450,15,765.0,130.79,Card,South
100026,2025-12-28,Priya,Male,38,Bengaluru,Karnataka,Electronics,Smartwatch,5,5000,20,20000.0,4232.61,NetBanking,South
100027,2025-07-03,Ayush,Male,56,Lucknow,Uttar Pradesh,Furniture,Chair,3,3500,10,9450.0,1025.92,UPI,North
100028,2025-09-29,Neha,Female,49,Mumbai,Maharashtra,Grocery,Oil,2,1800,0,3600.0,452.9,NetBanking,West
100029,2025-10-07,Rohit,Female,30,Jaipur,Rajasthan,Furniture,Sofa,5,25000,0,125000.0,12193.59,UPI,North
100030,2025-12-01,Ayush,Female,27,Lucknow,Uttar Pradesh,Grocery,Tea,4,450,0,1800.0,162.41,NetBanking,North
100031,2025-04-17,Riya,Female,19,Ranchi,Jharkhand,Furniture,Table,2,6500,5,12350.0,3029.55,UPI,East
100032,2025-08-12,Simran,Female,29,Ranchi,Jharkhand,Grocery,Sugar,5,600,0,3000.0,261.34,Cash,East
100033,2025-03-20,Sneha,Male,44,Kolkata,West Bengal,Electronics,Headphones,3,2500,5,7125.0,1194.39,Card,East
100034,2025-01-22,Karan,Male,48,Hyderabad,Telangana,Grocery,Tea,5,450,5,2137.5,312.75,UPI,South
